t,ax,ay,az,gx,gy,gz,label
114949,0.9307,0.3,-0.2129,18.137,14.206,3.748,nornal
114969,0.9622,0.3376,-0.1792,19.702,17.74,4.153,nornal
114989,0.9451,0.376,-0.1682,23.672,20.336,2.855,nornal
115009,0.9087,0.3889,-0.1455,34.687,25.359,4.084,nornal
115029,0.9255,0.3691,-0.1204,44.023,29.45,5.115,nornal
115049,0.9463,0.3315,-0.0776,52.878,29.702,4.718,nornal
115069,0.9609,0.3218,-0.0669,57.305,27.817,2.084,nornal
115089,0.9431,0.3147,-0.063,59.099,28.855,-1.42,nornal
115109,0.9519,0.3081,-0.0532,61.847,32.183,-2.969,nornal
115129,0.9817,0.2812,-0.0623,63.214,33.649,-3.313,nornal
115149,0.9727,0.2791,-0.0686,61.122,35.183,-0.649,nornal
115169,0.9622,0.3149,-0.0667,60.817,38.412,0.74,nornal
115189,0.9695,0.3103,-0.0586,65.664,40.557,2.42,nornal
115209,0.9832,0.3291,-0.0627,71.336,40.802,2.336,nornal
115229,0.9631,0.3215,-0.0615,77.679,39.687,1.321,nornal
115249,0.9592,0.3108,-0.0654,84.489,41.588,-0.107,nornal
115289,0.9861,0.2683,-0.0784,92.603,42.191,-7.115,nornal
115309,0.9634,0.2505,-0.0742,92.954,41.038,-8.496,nornal
115329,0.9668,0.2344,-0.0605,90.084,41.107,-8.015,nornal
115349,0.9871,0.2173,-0.0552,87.26,42.061,-7.504,nornal
115369,1.0059,0.219,-0.0889,88.42,43.511,-5.763,nornal
115389,1.001,0.2307,-0.0801,92.779,43.55,-4.458,nornal
115409,0.9971,0.2222,-0.0698,98.191,43.221,-3.458,nornal
115429,1.0054,0.2056,-0.0552,102.511,41.985,-4.008,nornal
115449,1.0122,0.1785,-0.063,99.092,38.603,-4.069,nornal
115469,1.0039,0.1418,-0.085,92.985,36.183,-2.366,nornal
115489,1.0249,0.1426,-0.0935,88.916,32.794,-1.13,nornal
115509,1.0232,0.1399,-0.0586,86.664,28.321,0.198,nornal
115529,1.0081,0.136,-0.0383,79.42,25.573,-0.313,nornal
115549,0.9946,0.1267,-0.1162,73.244,21.656,0.55,nornal
115569,1.0205,0.1655,-0.1128,70.679,18.985,0.511,nornal
115589,1.0193,0.1848,-0.1079,67.244,13.55,-2.374,nornal
115609,1.0068,0.1956,-0.0811,64.977,14.588,-6.0,nornal
115629,1.0212,0.1904,-0.1438,63.595,14.687,-8.649,nornal
115649,1.0356,0.1936,-0.137,63.382,11.779,-8.733,nornal
115669,1.0266,0.2024,-0.1587,64.221,12.511,-9.267,nornal
115709,1.0022,0.1462,-0.1709,55.427,18.931,-7.29,nornal
115729,1.0037,0.1296,-0.1914,50.969,21.321,-6.008,nornal
115749,1.0127,0.1287,-0.2092,48.397,17.626,-3.664,nornal
115769,0.9934,0.1626,-0.1133,49.344,19.313,1.962,nornal
115789,1.145,0.2148,-0.1892,43.168,9.489,1.725,nornal
115809,1.1274,0.1228,-0.0686,26.664,10.672,9.763,nornal
115829,1.1785,0.1477,-0.0239,0.962,8.031,15.313,nornal
115849,1.1235,0.2053,0.0476,-12.534,4.023,22.74,nornal
115869,1.0088,0.2969,-0.0063,-10.618,-2.053,27.015,nornal
115889,0.8909,0.355,-0.072,0.58,-9.977,26.313,nornal
115909,0.8564,0.3804,-0.0869,12.183,-16.733,17.71,nornal
115929,0.9033,0.3494,-0.0723,15.885,-20.542,3.481,nornal
115949,0.9358,0.2695,-0.0669,12.137,-20.847,-6.702,nornal
115969,0.9639,0.2451,-0.0588,2.023,-16.229,-6.603,nornal
115989,0.9995,0.2712,-0.0532,-8.244,-14.786,-2.13,nornal
116009,1.0259,0.302,-0.1323,-9.183,-16.985,3.031,nornal
116029,1.0007,0.3049,-0.1309,-7.878,-18.168,5.847,nornal
116049,0.9365,0.2839,-0.1418,-8.45,-15.985,8.282,nornal
116069,0.8965,0.25,-0.1558,-7.626,-13.084,10.046,nornal
116089,0.8984,0.2168,-0.1709,-7.153,-7.534,10.45,nornal
116109,0.8979,0.1921,-0.1567,-8.198,-3.824,7.992,nornal
116129,0.9104,0.1973,-0.1799,-11.824,-2.878,1.954,nornal
116149,0.9253,0.2083,-0.1633,-14.611,-2.527,-5.466,nornal
116169,0.9446,0.2385,-0.1826,-12.863,-1.26,-12.939,nornal
116189,0.9648,0.2659,-0.1934,-9.092,-1.947,-17.771,nornal
116209,0.9641,0.2715,-0.1965,-5.023,1.374,-16.206,nornal
116229,0.9648,0.2759,-0.2241,-3.397,8.198,-10.038,nornal
116249,0.9712,0.2561,-0.2354,-2.351,8.748,-6.847,nornal
116269,0.9485,0.2373,-0.2424,0.641,11.344,-5.321,nornal
116289,0.9431,0.2251,-0.2612,4.87,13.191,-4.847,nornal
116309,0.9587,0.2104,-0.2915,8.519,10.13,-5.168,nornal
116329,0.9507,0.1667,-0.2671,12.405,5.817,-3.237,nornal
116349,0.9666,0.1602,-0.2336,10.817,0.863,-0.649,nornal
116369,0.9934,0.1838,-0.2273,4.061,2.71,-0.458,nornal
116389,1.0408,0.2178,-0.2615,-0.13,1.153,-2.489,nornal
116409,1.0723,0.2554,-0.3181,-1.496,-5.122,-6.382,nornal
116429,0.9797,0.249,-0.3184,-3.053,-4.427,-8.565,nornal
116449,1.0398,0.2554,-0.3435,-3.756,-6.702,-9.435,nornal
116469,1.2498,0.2817,-0.2717,-5.359,-29.298,-21.687,nornal
116490,1.1348,0.3635,-0.1633,-0.397,-31.015,-21.427,nornal
116510,1.0967,0.4275,-0.136,0.061,-34.344,-24.649,nornal
116530,0.9109,0.3877,-0.1182,3.901,-30.328,-22.802,nornal
116550,0.7913,0.3882,-0.1689,11.008,-17.672,-14.252,nornal
116570,0.7905,0.3965,-0.2644,12.802,-2.847,-5.542,nornal
116590,0.8223,0.363,-0.1086,15.542,12.71,2.008,nornal
116610,0.8904,0.3325,-0.0657,11.229,22.916,3.45,nornal
116630,0.9094,0.3352,-0.0007,8.626,23.885,0.779,nornal
116650,0.9248,0.3269,-0.0195,9.786,18.473,-2.901,nornal
116670,0.9514,0.3311,-0.0254,14.13,10.939,-7.053,nornal
116690,0.9968,0.283,-0.0823,21.168,6.534,-9.595,nornal
116710,0.9973,0.229,-0.1021,15.802,1.557,-9.336,nornal
116730,0.9851,0.2004,-0.1335,7.435,4.45,-5.519,nornal
116750,0.9729,0.25,-0.1521,1.008,9.168,2.366,nornal
116770,0.9512,0.2715,-0.1379,-1.702,16.458,10.046,nornal
116810,0.959,0.3137,-0.082,2.252,26.542,10.275,nornal
116830,0.9446,0.3228,-0.0911,9.42,23.55,8.038,nornal
116850,0.9368,0.2917,-0.0981,13.985,22.466,3.519,nornal
116870,0.9722,0.248,-0.124,16.664,21.282,-1.496,nornal
116890,0.98,0.2517,-0.1252,16.366,18.137,-5.282,nornal
116910,0.9648,0.2583,-0.1509,15.84,14.244,-6.947,nornal
116930,0.9614,0.2493,-0.1514,16.832,12.481,-6.779,nornal
116950,0.9668,0.2405,-0.1448,17.374,13.069,-6.084,nornal
116970,0.9653,0.241,-0.1431,17.588,13.496,-5.947,nornal
116990,0.9736,0.2451,-0.1392,18.397,16.275,-5.237,nornal
117010,0.9712,0.2478,-0.1416,21.321,17.053,-5.305,nornal
117030,0.9712,0.2429,-0.1399,26.58,14.824,-7.771,nornal
117050,0.9727,0.2246,-0.144,31.702,11.427,-11.702,nornal
117070,0.9856,0.2124,-0.1394,34.893,8.931,-13.679,nornal
117090,1.0015,0.2131,-0.1123,35.198,7.794,-14.504,nornal
117110,1.002,0.2217,-0.0735,34.84,11.275,-13.771,nornal
117130,0.9932,0.2529,-0.0591,33.221,17.053,-12.458,nornal
117150,0.981,0.2673,-0.0388,35.55,23.832,-11.244,nornal
117170,0.9797,0.2656,-0.03,40.794,29.84,-11.977,nornal
117190,0.9827,0.2424,-0.0146,45.786,32.069,-14.618,nornal
117210,0.9753,0.22,-0.0271,51.405,35.496,-17.748,nornal
117230,0.9937,0.2637,-0.0107,61.924,41.687,-16.527,nornal
117250,1.0403,0.3274,-0.0164,68.26,36.351,-17.832,nornal
117270,0.9871,0.2778,0.0205,67.565,45.588,-13.954,nornal
117290,0.958,0.2917,-0.0056,61.992,58.893,-8.153,nornal
117310,0.9634,0.3354,-0.0237,51.29,64.695,-2.878,nornal
117330,1.011,0.4243,-0.0269,44.29,59.214,-5.695,nornal
117350,1.0686,0.4985,-0.0649,46.366,50.763,-13.084,nornal
117370,1.0667,0.5015,-0.0437,53.908,47.878,-20.13,nornal
117390,1.0459,0.5088,-0.0271,57.924,44.901,-25.443,nornal
117410,1.0015,0.4458,-0.1167,57.718,40.74,-26.58,nornal
117430,0.9333,0.3706,-0.1399,52.779,33.611,-23.718,nornal
117450,0.8879,0.335,-0.1533,39.168,29.679,-17.992,nornal
117470,0.8728,0.3169,-0.1199,22.779,28.565,-13.382,nornal
117490,0.8923,0.3489,-0.1057,14.534,27.763,-11.725,nornal
117510,0.9302,0.3726,-0.1079,17.542,19.893,-12.29,nornal
117530,0.9531,0.3735,-0.1582,20.618,9.176,-11.359,nornal
117550,1.0083,0.3779,-0.2119,19.733,-4.344,-7.29,nornal
117570,1.0105,0.3271,-0.1335,13.405,-16.863,-0.611,nornal
117590,0.8816,0.2817,0.1138,-0.824,-9.076,4.031,nornal
117610,0.9175,0.3335,-0.1338,-18.763,-0.588,9.695,nornal
117630,0.9236,0.3899,-0.1035,-25.374,-8.664,12.344,nornal
117650,0.9824,0.4031,-0.1626,-19.481,-19.832,14.916,nornal
117670,0.9341,0.3655,-0.0886,-14.351,-29.977,15.58,nornal
117690,0.9033,0.2847,-0.0718,-14.908,-26.313,18.565,nornal
117710,0.9263,0.2507,-0.1003,-17.832,-22.275,22.87,nornal
117730,0.9558,0.2876,-0.1042,-23.351,-23.13,24.359,nornal
117750,0.9885,0.3328,-0.1067,-29.763,-26.351,21.008,nornal
117770,0.9617,0.342,-0.1008,-37.366,-29.962,18.672,nornal
117790,0.9487,0.3435,-0.105,-40.244,-31.382,18.687,nornal
117810,0.9761,0.344,-0.1382,-39.756,-38.389,20.221,nornal
117830,0.9871,0.3401,-0.1536,-37.168,-44.901,23.298,nornal
117850,0.9941,0.3064,-0.1641,-36.748,-45.885,28.794,nornal
117870,1.0039,0.3042,-0.1682,-39.145,-45.458,34.756,nornal
117890,0.9861,0.2915,-0.1741,-41.542,-42.046,37.076,nornal
117910,0.9446,0.2715,-0.1667,-42.084,-36.634,35.214,nornal
117930,0.8896,0.2825,-0.1667,-42.389,-32.672,29.733,nornal
117950,0.8823,0.2844,-0.178,-41.466,-30.809,21.924,nornal
117970,0.8694,0.2861,-0.1628,-41.649,-26.26,13.26,nornal
117990,0.8684,0.2844,-0.1736,-40.641,-19.756,5.427,nornal
118010,0.8752,0.2693,-0.2317,-35.947,-14.855,0.954,nornal
118030,0.9133,0.2336,-0.217,-30.603,-1.817,0.786,nornal
118050,0.9182,0.2417,-0.2244,-24.359,-1.985,-1.588,nornal
118070,0.8945,0.2141,-0.2405,-20.038,4.26,-3.84,nornal
118090,0.9265,0.2227,-0.2852,-19.267,8.534,-2.779,nornal
118110,0.9719,0.2244,-0.3342,-17.565,4.901,-4.344,nornal
118130,1.0039,0.2244,-0.3538,-14.817,2.191,-6.634,nornal
118150,1.0044,0.2322,-0.3308,-16.176,2.527,-7.221,nornal
118170,1.0378,0.2241,-0.304,-22.252,-0.344,-7.359,nornal
118190,1.0732,0.2222,-0.2703,-28.069,-5.298,-8.756,nornal
118210,1.0796,0.2278,-0.2886,-27.809,-10.023,-11.183,nornal
118230,1.0557,0.1919,-0.3542,-27.137,-16.427,-9.313,nornal
118250,1.0234,0.1565,-0.3706,-27.931,-18.756,-3.893,nornal
118270,0.9895,0.1248,-0.4167,-31.42,-19.221,3.153,nornal
118290,1.3066,0.4138,-0.4343,-39.824,-30.954,0.397,nornal
118310,1.1689,0.2278,-0.2214,-27.366,-28.389,-4.26,nornal
118330,0.9966,0.4224,-0.2671,-23.489,-17.206,2.542,nornal
118350,0.9622,0.5322,-0.2729,-14.137,-14.817,6.496,nornal
118370,0.863,0.5039,-0.1938,2.473,-7.336,11.954,nornal
118390,0.7795,0.4373,-0.1685,16.779,10.977,16.458,nornal
118410,0.7646,0.3516,-0.1287,29.061,21.321,18.702,nornal
118430,0.7898,0.2239,-0.0298,27.481,20.588,15.87,nornal
118450,0.9441,0.2017,-0.019,10.718,17.412,1.969,nornal
118470,1.0684,0.2559,-0.04,-0.313,4.244,-18.748,nornal
118491,1.0334,0.313,-0.1018,-6.328,-1.916,-24.58,nornal
118511,0.9868,0.3572,-0.0969,-9.405,6.55,-14.458,nornal
118531,0.967,0.353,-0.1648,-5.634,16.557,1.847,nornal
118551,0.9553,0.3203,-0.1843,-1.817,19.679,14.42,nornal
118571,0.8938,0.321,-0.1506,0.282,16.84,17.26,nornal
118591,0.8625,0.2983,-0.1223,1.031,20.779,14.924,nornal
118611,0.8865,0.3047,-0.1504,4.069,22.809,11.481,nornal
118631,0.8818,0.3022,-0.115,9.191,21.45,2.878,nornal
118651,0.9075,0.2581,-0.1279,11.878,21.687,-5.015,nornal
118671,0.9492,0.2249,-0.1118,10.588,20.786,-8.26,nornal
118691,0.9692,0.2378,-0.1526,7.305,16.046,-8.443,nornal
118711,0.946,0.2236,-0.1667,5.359,11.817,-5.519,nornal
118731,0.9321,0.2222,-0.1743,4.748,14.122,-1.122,nornal
118751,0.9399,0.2163,-0.1628,4.473,17.366,2.924,nornal
118771,0.9634,0.2036,-0.1553,3.588,13.748,3.969,nornal
118791,0.991,0.189,-0.1616,3.779,11.527,2.237,nornal
118811,1.0212,0.1736,-0.1489,8.267,8.664,1.588,nornal
118831,1.0144,0.1646,-0.1223,14.305,8.359,0.489,nornal
118851,1.0283,0.1902,-0.1377,19.763,13.176,-0.282,nornal
118871,1.0471,0.2178,-0.1426,21.618,14.008,-1.275,nornal
118891,1.0591,0.1746,-0.0859,20.275,12.336,-4.237,nornal
118911,1.0635,0.1299,-0.116,10.038,11.679,-8.565,nornal
118931,1.0227,0.136,-0.1694,-0.023,14.183,-9.29,nornal
118951,0.9651,0.1492,-0.1362,2.824,22.397,-4.267,nornal
118971,1.106,0.3091,-0.2703,10.695,21.733,-3.198,nornal
118991,1.0564,0.2065,-0.073,10.687,19.603,5.382,nornal
119011,1.0928,0.2192,0.0017,0.802,26.0,12.42,nornal
119031,1.1606,0.2693,0.0005,-18.153,16.435,16.45,nornal
119051,1.1313,0.3508,0.0293,-29.008,6.763,19.359,nornal
119071,1.0488,0.4475,0.0181,-32.099,-3.679,21.382,nornal
119091,0.9595,0.4592,-0.0232,-26.74,-13.145,22.496,nornal
119111,0.8464,0.4529,-0.093,-11.885,-18.427,24.618,nornal
119131,0.8442,0.4392,-0.1411,0.0,-30.435,21.901,nornal
119151,0.9055,0.3257,-0.1006,2.069,-31.427,14.84,nornal
119171,0.9688,0.2444,-0.0955,-8.229,-25.061,9.389,nornal
119191,1.0356,0.2668,-0.0684,-19.29,-18.275,5.26,nornal
119211,1.0566,0.3149,-0.0803,-21.282,-14.855,1.573,nornal
119231,1.0073,0.343,-0.1008,-17.756,-12.565,0.252,nornal
119251,0.9673,0.3232,-0.124,-15.588,-14.122,0.969,nornal
119271,0.9402,0.3008,-0.1221,-16.198,-15.733,2.725,nornal
119291,0.9124,0.2964,-0.1467,-16.267,-14.137,5.191,nornal
119311,0.8818,0.3013,-0.1641,-14.344,-11.893,5.595,nornal
119331,0.8516,0.2944,-0.156,-11.374,-9.282,3.908,nornal
119371,0.8782,0.2415,-0.1914,-6.397,-4.725,-5.336,nornal
