t,ax,ay,az,gx,gy,gz,label
47116,0.9419,0.3508,-0.2375,3.901,4.542,-4.282,fall
47136,0.937,0.3542,-0.2327,3.84,4.076,-4.603,fall
47156,0.9365,0.3557,-0.2366,4.382,4.023,-4.588,fall
47176,0.9343,0.3625,-0.238,5.45,3.847,-4.443,fall
47196,0.9282,0.3762,-0.2329,6.901,4.534,-3.679,fall
47216,0.9272,0.3914,-0.2173,8.71,3.046,-3.168,fall
47236,0.9023,0.4211,-0.167,8.244,-0.672,-2.954,fall
47256,0.8721,0.5105,-0.1245,5.183,-2.504,-3.008,fall
47276,0.8313,0.6501,-0.1025,3.511,-1.443,-4.053,fall
47296,0.6611,0.7439,0.0356,8.122,0.656,-8.519,fall
47316,0.3494,0.6033,0.2932,5.641,6.29,-16.344,fall
47336,0.1396,0.3115,0.2307,-9.863,30.298,-14.519,fall
47356,0.0298,0.0601,-0.0125,-10.908,32.099,-13.733,fall
47376,-0.062,-0.2129,-0.147,-4.71,14.183,-25.344,fall
47396,-0.2554,-0.5566,-0.4253,2.969,3.344,-28.046,fall
47416,-0.0034,-0.5334,-0.4685,1.244,-21.954,-25.374,fall
47436,-0.0251,-0.3257,-0.3601,-4.565,-76.473,-6.038,fall
47456,0.3071,0.2131,-0.2263,18.168,-130.42,5.443,fall
47476,1.1357,0.9316,-0.6111,-30.053,-100.985,-35.122,fall
47496,1.8828,0.2471,-0.4204,-80.412,-171.252,-82.656,fall
47516,1.9999,0.8372,-0.1455,-16.878,-124.481,-102.168,fall
47536,1.407,1.0415,-0.7817,67.412,27.176,17.947,fall
47556,1.3047,0.8533,-0.6353,76.55,30.817,102.74,fall
47576,1.1814,0.4385,-0.5942,56.977,28.664,115.985,fall
47596,1.0593,0.2578,-0.6396,45.901,19.244,94.405,fall
47616,1.0151,0.1687,-0.5571,30.099,-8.099,46.221,fall
47636,1.0757,0.2292,-0.4734,14.931,-40.947,5.656,fall
47656,1.2109,0.4668,-0.5283,8.733,-64.748,-23.137,fall
47676,1.2593,0.4946,-0.5532,6.679,-63.58,-36.74,fall
47696,1.2236,0.459,-0.6016,13.626,-47.794,-18.992,fall
47716,1.144,0.4517,-0.5774,27.061,-26.656,14.618,fall
47736,1.0322,0.4028,-0.5706,27.908,13.847,38.107,fall
47756,0.9578,0.4189,-0.541,20.29,27.061,43.649,fall
47776,0.9875,0.3977,-0.5432,12.145,1.198,27.603,fall
47796,1.0264,0.3279,-0.5149,9.053,-19.763,4.305,fall
47816,1.0881,0.3491,-0.5913,12.45,-19.198,-12.069,fall
47836,1.0989,0.4207,-0.614,15.0,-17.893,-14.115,fall
47856,1.0134,0.4585,-0.5427,16.0,-8.458,-8.0,fall
47876,1.0103,0.4253,-0.5396,18.824,3.794,-1.282,fall
47896,1.0642,0.4312,-0.6069,16.87,12.855,1.489,fall
47916,1.0554,0.4236,-0.6428,12.893,14.595,-1.977,fall
47936,1.0513,0.363,-0.6182,7.359,12.427,-7.069,fall
47956,1.0969,0.3792,-0.6531,4.87,7.405,-11.29,fall
47976,1.0923,0.4231,-0.6396,1.718,3.313,-15.557,fall
